date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:56	62216/62216	---M-Z	200	added ('OK')	text/html	etag:%22b902b57-f308-5eca091f9039b-gzip%22	https://codervent.com/rocker/demo/vertical/table-datatable.html	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/table-datatable.html	(from )
19:04:56	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Dec%202022%2013:34:56%20GMT	https://codervent.com/robots.txt		(from )
19:04:56	2049/2049	---M--	200	added ('OK')	image/png	etag:%22b902a10-801-5eca092d8bd4c%22	https://codervent.com/rocker/demo/vertical/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/images/favicon-32x32.png	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:57	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%22b902b08-b94-5eca0a42531f6-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/simplebar/css/simplebar.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:57	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%22b902afb-71b-5eca0a3dfbca2-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:57	1922/1922	---M-Z	200	added ('OK')	text/css	etag:%22b902ad3-782-5eca0a3153c90-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:58	5370/5370	---M-Z	200	added ('OK')	text/css	etag:%22b902a7f-14fa-5eca0a1abb948-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/datatable/css/dataTables.bootstrap5.min.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/plugins/datatable/css/dataTables.bootstrap5.min.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:58	1738/1738	---M-Z	200	added ('OK')	text/css	etag:%22b9024d4-6ca-5eca092425538-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/pace.min.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/pace.min.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:58	12293/12293	---M-Z	200	added ('OK')	application/javascript	etag:%22b902a66-3005-5eca09311133c-gzip%22	https://codervent.com/rocker/demo/vertical/assets/js/pace.min.js	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/js/pace.min.js	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:59	222055/222055	---M-Z	200	added ('OK')	text/css	etag:%22b9024ce-36367-5eca09224f5a8-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/bootstrap.min.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:59	12567/12567	---M-Z	200	added ('OK')	text/css	etag:%22b9024cd-3117-5eca09215e244-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/bootstrap-extended.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/bootstrap-extended.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:59	44314/44314	---M-Z	200	added ('OK')	text/css	etag:%22b9024cc-ad1a-5eca0921bc615-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/app.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/app.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:04:59	135862/135862	---M-Z	200	added ('OK')	text/css	etag:%22b9024d2-212b6-5eca0923e2eb7-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/icons.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/icons.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:00	21375/21375	---M-Z	200	added ('OK')	text/css	etag:%22b9024d0-537f-5eca0922cf872-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/dark-theme.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/dark-theme.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:00	2836/2836	---M-Z	200	added ('OK')	text/css	etag:%22b9024d5-b14-5ecb498478bfb-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/semi-dark.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/semi-dark.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:00	4819/4819	---M-Z	200	added ('OK')	text/css	etag:%22b9024d1-12d3-5eca0923368e4-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/header-colors.css	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/css/header-colors.css	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:01	26185/26185	---M--	200	added ('OK')	image/png	etag:%22b902a48-6649-5eca092ddca45%22	https://codervent.com/rocker/demo/vertical/assets/images/logo-icon.png	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/assets/images/logo-icon.png	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:01	55853/55853	---M-Z	200	added ('OK')	text/html	etag:%22b902b50-da2d-5eca091d9fa42-gzip%22	https://codervent.com/rocker/demo/vertical/index.html	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/index.html	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:01	49552/49552	---M-Z	200	added ('OK')	text/html	etag:%22b902b51-c190-5eca091df2294-gzip%22	https://codervent.com/rocker/demo/vertical/index2.html	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/index2.html	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:02	57652/57652	---M-Z	200	added ('OK')	text/html	etag:%22b902b52-e134-5eca091e56bf6-gzip%22	https://codervent.com/rocker/demo/vertical/index3.html	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/index3.html	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
19:05:02	59989/59989	---M-Z	200	added ('OK')	text/html	etag:%22b9024c4-ea55-5eca090e5512c-gzip%22	https://codervent.com/rocker/demo/vertical/app-emailbox.html	C:/My%20Web%20Sites/Admine_pannel/codervent.com/rocker/demo/vertical/app-emailbox.html	(from https://codervent.com/rocker/demo/vertical/table-datatable.html)
